"","Title","Year","IMDb","Rotten.Tomatoes","provider","has_movie"
"1","Inception",2010,8.8,87,"Netflix",1
"2","The Matrix",1999,8.7,87,"Netflix",1
"3","Avengers: Infinity War",2018,8.5,84,"Netflix",1
"4","Back to the Future",1985,8.5,96,"Netflix",1
"5","The Good, the Bad and the Ugly",1966,8.8,97,"Netflix",1
"6","Spider-Man: Into the Spider-Verse",2018,8.4,97,"Netflix",1
"7","The Pianist",2002,8.5,95,"Netflix",1
"8","Django Unchained",2012,8.4,87,"Netflix",1
"9","Raiders of the Lost Ark",1981,8.4,95,"Netflix",1
"10","Inglourious Basterds",2009,8.3,89,"Netflix",1
"11","Taxi Driver",1976,8.3,95,"Netflix",1
"12","3 Idiots",2009,8.4,100,"Netflix",1
"13","Pan's Labyrinth",2006,8.2,95,"Netflix",1
"14","Room",2015,8.1,93,"Netflix",1
"15","Monty Python and the Holy Grail",1975,8.2,97,"Netflix",1
"16","Once Upon a Time in the West",1968,8.5,95,"Netflix",1
"17","Indiana Jones and the Last Crusade",1989,8.2,88,"Netflix",1
"18","Groundhog Day",1993,8,96,"Netflix",1
"19","The King's Speech",2010,8,95,"Netflix",1
"20","Her",2013,8,95,"Netflix",1
"21","There Will Be Blood",2007,8.2,91,"Netflix",1
"22","The Social Network",2010,7.7,96,"Netflix",1
"23","Dallas Buyers Club",2013,8,93,"Netflix",1
"24","The Perks of Being a Wallflower",2012,8,86,"Netflix",1
"25","Life of Brian",1979,8.1,95,"Netflix",1
"26","Ex Machina",2015,7.7,92,"Netflix",1
"27","Silver Linings Playbook",2012,7.7,92,"Netflix",1
"28","District 9",2009,7.9,90,"Netflix",1
"29","The Irishman",2019,7.9,96,"Netflix",1
"30","Moon",2009,7.9,90,"Netflix",1
"31","Marriage Story",2019,8,95,"Netflix",1
"32","Drive",2011,7.8,92,"Netflix",1
"33","Train to Busan",2016,7.5,94,"Netflix",1
"34","Incredibles 2",2018,7.6,94,"Netflix",1
"35","Dangal",2016,8.4,88,"Netflix",1
"36","Klaus",2019,8.2,94,"Netflix",1
"37","Minority Report",2002,7.6,90,"Netflix",1
"38","Mystic River",2003,7.9,88,"Netflix",1
"39","Like Stars on Earth",2007,8.4,91,"Netflix",1
"40","Ferris Bueller's Day Off",1986,7.8,80,"Netflix",1
"41","Despicable Me",2010,7.6,81,"Netflix",1
"42","Hell or High Water",2016,7.6,97,"Netflix",1
"43","Sin City",2005,8,77,"Netflix",1
"44","Ip Man",2008,8,85,"Netflix",1
"45","Indiana Jones and the Temple of Doom",1984,7.6,85,"Netflix",1
"46","The Theory of Everything",2014,7.7,79,"Netflix",1
"47","The Pursuit of Happyness",2006,8,67,"Netflix",1
"48","Senna",2010,8.5,93,"Netflix",1
"49","Scott Pilgrim vs. the World",2010,7.5,81,"Netflix",1
"50","Magnolia",1999,8,83,"Netflix",1
"51","The Hateful Eight",2015,7.8,75,"Netflix",1
"52","The Artist",2011,7.9,95,"Netflix",1
"53","Moonlight",2016,7.4,98,"Netflix",1
"54","Back to the Future Part II",1989,7.8,65,"Netflix",1
"55","Willy Wonka & the Chocolate Factory",1971,7.8,91,"Netflix",1
"56","What's Eating Gilbert Grape",1993,7.8,90,"Netflix",1
"57","The Curious Case of Benjamin Button",2008,7.8,71,"Netflix",1
"58","A Silent Voice",2016,8.2,94,"Netflix",1
"59","Snowpiercer",2013,7.1,94,"Netflix",1
"60","Hugo",2011,7.5,93,"Netflix",1
"61","Ant-Man and the Wasp",2018,7.1,88,"Netflix",1
"62","As Good as It Gets",1997,7.7,85,"Netflix",1
"63","Back to the Future Part III",1990,7.4,80,"Netflix",1
"64","Searching for Sugar Man",2012,8.2,95,"Netflix",1
"65","Road to Perdition",2002,7.7,81,"Netflix",1
"66","To All the Boys I've Loved Before",2020,7.2,97,"Netflix",1
"67","Molly's Game",2017,7.4,82,"Netflix",1
"68","Blackfish",2013,8.1,98,"Netflix",1
"69","El Camino: A Breaking Bad Movie",2019,7.4,91,"Netflix",1
"70","The Invisible Guest",2016,8.1,67,"Netflix",1
"71","Song of the Sea",2014,8.1,99,"Netflix",1
"72","End of Watch",2012,7.6,85,"Netflix",1
"73","The Evil Dead",1981,7.5,95,"Netflix",1
"74","About Time",2013,7.8,68,"Netflix",1
"75","Kung Fu Hustle",2004,7.7,90,"Netflix",1
"76","Blue Is the Warmest Color",2013,7.7,89,"Netflix",1
"77","Y Tu Mamá También",2001,7.6,92,"Netflix",1
"78","The Naked Gun: From the Files of Police Squad!",1988,7.6,87,"Netflix",1
"79","Mud",2013,7.4,97,"Netflix",1
"80","The Edge of Seventeen",2016,7.3,94,"Netflix",1
"81","Philadelphia",1993,7.7,80,"Netflix",1
"82","Lagaan: Once Upon a Time in India",2001,8.1,95,"Netflix",1
"83","Tucker and Dale vs. Evil",2010,7.5,85,"Netflix",1
"84","The Matrix Reloaded",2003,7.2,73,"Netflix",1
"85","The Two Popes",2019,7.6,89,"Netflix",1
"86","The Last Samurai",2003,7.7,66,"Netflix",1
"87","The Florida Project",2017,7.6,96,"Netflix",1
"88","13th",2016,8.2,96,"Netflix",1
"89","Bahubali: The Beginning",2015,8.1,88,"Netflix",1
"90","The Dawn Wall",2018,8.1,100,"Netflix",1
"91","Dolemite Is My Name",2019,7.3,97,"Netflix",1
"92","Tarzan",1999,7.3,89,"Netflix",1
"93","The Platform",2019,7,82,"Netflix",1
"94","Okja",2017,7.3,87,"Netflix",1
"95","Roma",2018,7.7,96,"Netflix",1
"96","Saving Mr. Banks",2013,7.5,79,"Netflix",1
"97","Icarus",2017,7.9,93,"Netflix",1
"98","Jiro Dreams of Sushi",2011,7.9,99,"Netflix",1
"99","Corpse Bride",2005,7.3,84,"Netflix",1
"100","Jerry Maguire",1996,7.3,83,"Netflix",1
"101","The Death of Stalin",2017,7.2,96,"Netflix",1
"102","GoldenEye",1995,7.2,78,"Netflix",1
"103","The Boy in the Striped Pyjamas",2008,7.8,63,"Netflix",1
"104","Amy",2015,7.8,95,"Netflix",1
"105","Ralph Breaks the Internet",2018,7.1,88,"Netflix",1
"106","Good Time",2017,7.4,92,"Netflix",1
"107","Ip Man 2",2010,7.5,96,"Netflix",1
"108","The Little Prince",2015,7.7,93,"Netflix",1
"109","The Spectacular Now",2013,7.1,91,"Netflix",1
"110","Baahubali 2: The Conclusion",2017,8.2,89,"Netflix",1
"111","Black Mirror: Bandersnatch",2018,7.2,92,"Netflix",1
"112","PK",2014,8.1,76,"Netflix",1
"113","Extraction",2020,6.8,68,"Netflix",1
"114","The Lobster",2015,7.2,87,"Netflix",1
"115","Blue Valentine",2010,7.4,87,"Netflix",1
"116","Zindagi Na Milegi Dobara",2011,8.1,91,"Netflix",1
"117","Green Room",2015,7,91,"Netflix",1
"118","Kung Fu Panda 2",2011,7.2,81,"Netflix",1
"119","The Ballad of Buster Scruggs",2018,7.3,91,"Netflix",1
"120","Cloverfield",2008,7,77,"Netflix",1
"121","Burning",2018,7.5,95,"Netflix",1
"122","The Adventures of Tintin",2011,7.3,74,"Netflix",1
"123","Bolt",2008,6.8,89,"Netflix",1
"124","Neon Genesis Evangelion: The End of Evangelion",1997,8.1,88,"Netflix",1
"125","Chasing Amy",1997,7.2,87,"Netflix",1
"126","The Princess and the Frog",2009,7.1,85,"Netflix",1
"127","Bad Genius",2017,7.6,100,"Netflix",1
"128","The Wicker Man",1973,7.5,89,"Netflix",1
"129","A Single Man",2009,7.6,85,"Netflix",1
"130","Blow",2001,7.6,55,"Netflix",1
"131","The Squid and the Whale",2005,7.3,92,"Netflix",1
"132","My Life as a Zucchini",2016,7.8,99,"Netflix",1
"133","Jim & Andy: The Great Beyond- Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",2017,7.7,94,"Netflix",1
"134","Barfi!",2012,8.1,86,"Netflix",1
"135","Frances Ha",2013,7.5,92,"Netflix",1
"136","Tootsie",1982,7.4,90,"Netflix",1
"137","Solo: A Star Wars Story",2018,6.9,70,"Netflix",1
"138","Steve Jobs",2015,7.2,85,"Netflix",1
"139","Tremors",1990,7.1,88,"Netflix",1
"140","The Croods",2013,7.2,71,"Netflix",1
"141","Locke",2014,7.1,91,"Netflix",1
"142","Bill Burr: I'm Sorry You Feel That Way",2014,8.4,100,"Netflix",1
"143","Starred Up",2013,7.4,99,"Netflix",1
"144","Mudbound",2017,7.4,97,"Netflix",1
"145","Austin Powers: International Man of Mystery",1997,7,71,"Netflix",1
"146","Blue Ruin",2013,7.1,96,"Netflix",1
"147","The Patriot",2000,7.2,61,"Netflix",1
"148","Babel",2006,7.4,69,"Netflix",1
"149","The Square",2013,8.1,100,"Netflix",1
"150","Gerald's Game",2017,6.6,90,"Netflix",1
"151","Miracle",2004,7.5,81,"Netflix",1
"152","Swades",2004,8.2,83,"Netflix",1
"153","Tinker Tailor Soldier Spy",2011,7.1,83,"Netflix",1
"154","The Witch",2015,6.9,90,"Netflix",1
"155","Haider",2014,8.1,86,"Netflix",1
"156","Padman",2018,7.9,100,"Netflix",1
"157","Hush",2016,6.6,91,"Netflix",1
"158","Elizabeth",1998,7.4,82,"Netflix",1
"159","Miss Americana",2020,7.4,93,"Netflix",1
"160","Christopher Robin",2018,7.3,73,"Netflix",1
"161","I Lost My Body",2019,7.6,96,"Netflix",1
"162","I Am Mother",2019,6.7,90,"Netflix",1
"163","Lupin the Third: The Castle of Cagliostro",1979,7.7,94,"Netflix",1
